session,id,start,end,last_interaction,started_by,context,final_summary,channel,active,busy,multi_message,experience,human_mode,thread_id,assistant_id,agent_id,csat,current_agent,agent_input_thread,contact_id,tenant_id
64941f0a-d749-462f-87a0-725b377a267d,64941f0a-d749-462f-87a0-725b377a267d,2026-03-12 23:24:38.641724+00:00,2026-03-12 23:28:08.263103+00:00,2026-03-12 23:24:38.663045+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,6fcfe53c-1de8-48f1-b812-4035b1fd6016,1
a8a732a9-1669-4430-b805-72b06ad0a5d9,a8a732a9-1669-4430-b805-72b06ad0a5d9,2026-03-12 23:28:10.837788+00:00,2026-03-12 23:33:10.935836+00:00,2026-03-12 23:28:10.851828+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,9d7e65fa-1ae2-4bff-83bf-618e89bf9ee6,1
5aa84be9-13d5-4fa1-81b0-5e9438dbcff6,5aa84be9-13d5-4fa1-81b0-5e9438dbcff6,2026-03-12 23:28:13.525138+00:00,2026-03-12 23:33:14.046758+00:00,2026-03-12 23:28:13.565848+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,f9e15981-4a53-47d6-a1bc-1ef5096003cb,1
1f4abbfc-98b6-4aa3-a05e-4dc8d67b471e,1f4abbfc-98b6-4aa3-a05e-4dc8d67b471e,2026-03-12 23:28:14.122497+00:00,2026-03-12 23:33:14.362020+00:00,2026-03-12 23:28:14.151050+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,31ace4e4-73a9-4f90-b258-02853d2abddb,1
f5ce5cb8-9ec6-49aa-9cd9-800bbab32240,f5ce5cb8-9ec6-49aa-9cd9-800bbab32240,2026-03-12 23:28:14.580901+00:00,2026-03-12 23:33:14.689714+00:00,2026-03-12 23:28:14.599172+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,31ace4e4-73a9-4f90-b258-02853d2abddb,1
0a67b0f6-01da-4017-8ca4-fa476ddc0ac9,0a67b0f6-01da-4017-8ca4-fa476ddc0ac9,2026-03-12 23:28:14.671856+00:00,2026-03-12 23:33:14.781809+00:00,2026-03-12 23:28:14.683392+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,51a4ed45-47c2-4157-bbf6-e55c192e4546,1
395143f1-de34-4324-9e9d-892d04cff00f,395143f1-de34-4324-9e9d-892d04cff00f,2026-03-12 23:28:14.916068+00:00,2026-03-12 23:33:15.043879+00:00,2026-03-12 23:28:14.950653+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,6fcfe53c-1de8-48f1-b812-4035b1fd6016,1
7030361c-cc64-4f9d-b935-cbfb82fa9a2d,7030361c-cc64-4f9d-b935-cbfb82fa9a2d,2026-03-12 23:33:12.798519+00:00,2026-03-12 23:38:12.970253+00:00,2026-03-12 23:33:12.824957+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,9d7e65fa-1ae2-4bff-83bf-618e89bf9ee6,1
e8331fb4-47fd-4542-a32f-9244bd315e8b,e8331fb4-47fd-4542-a32f-9244bd315e8b,2026-03-12 23:33:15.927456+00:00,2026-03-12 23:38:16.035293+00:00,2026-03-12 23:33:15.942195+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,f9e15981-4a53-47d6-a1bc-1ef5096003cb,1
1f3c65da-ae90-4cc8-8665-b3ce1fc5cb32,1f3c65da-ae90-4cc8-8665-b3ce1fc5cb32,2026-03-12 23:33:16.898570+00:00,2026-03-12 23:38:16.973345+00:00,2026-03-12 23:33:16.908694+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,51a4ed45-47c2-4157-bbf6-e55c192e4546,1
